text,annotation_64,annotation_60,annotation_61,annotation_63
To all those who gloat “elections have consequences” ; let’s administer VACCINES (or not) have consequences.,anti-mitigation,unclear,pro-mitigation,unclear
"Corporations and health privacy in the US? How about we start by outlawing drug testing requirements for jobs that in no way impact public safety: bagging groceries, waiting tables...",unclear,unclear,unclear,anti-mitigation
No. Done with it.,unclear,unclear,unclear,unclear
"I have not eaten outside my house since March. 
I miss our favorite places. 
I don’t want to sit down for a dinner-length time anywhere because I am scared to. 
I know that chez moi I can eat and not risk anything. For me, it’s a bit sad to know I won’t patronize places we used to go to, but no. No yet.",unclear,unclear,unclear,pro-mitigation
"More people die each day in US from the virus than Taiwan has new cases, but we tell people to take off their masks. The can't do-won't do nation.",anti-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
The CDC declined to comment?,unclear,unclear,unclear,unclear
"Humble humane empathetiic facts, science and reality in service of a more perfect stable American union points towards private employers making a forced vaccination choice from the context and perspective of their people or their profits.",unclear,unclear,pro-mitigation,anti-mitigation
If a company does not have a policy requiring vaccination there are employees who will reasonably refuse to go into such an infectious environment.,unclear,pro-mitigation,pro-mitigation,anti-mitigation
"Just require proof of vaccination to go back to the office and most people will lose their hesitancy pretty quickly, working from home is getting old now for all but a few people I know. Employees who don't like it can continue to work from home (if it makes sense for the business) or quit and find a different job.",unclear,pro-mitigation,pro-mitigation,unclear
Would companies be liable for litigation if a vaccinated worker gets the virus from an unvaccinated one?,unclear,unclear,unclear,anti-mitigation
Requiring employees to get vaxx’d is effective obedience testing.  The HR departments must be thrilled.,unclear,anti-mitigation,anti-mitigation,anti-mitigation
"Healthcare systems require all their employees, even those who do not interact with patients , to get vaccinated with the flu shot. This has been going on for awhile. Exceptions are for religious or medical reasons. Now that the Covid vaccines are most likely going to come off emergency FDA request, I think more companies may require it. Or they may influence employees to get it.",unclear,unclear,pro-mitigation,pro-mitigation
"Yes, Americans are yearning for their farro. (?!?!?!)",unclear,unclear,unclear,unclear
"My company has been successfully operating in work from home mode for over a year.  One potential strategy for us could be to require the vaccination for returning to the office, but allowing those who object to getting the vaccine to continue working remotely.  The article briefly touches on the fact that the COVID vaccines have emergency approval thus from from the USDA.  I wonder how the legal issues shift if the vaccines get full approval (like the ones most of our kids are required to have in order to attend school).",unclear,unclear,pro-mitigation,pro-mitigation
"Correction: “The Nation” didn’t want to eat out again! Trump and his Trumpers wanted to open everything up for the specific purpose of revamping the failing economy! Majority of Americans did not go out into the restaurants nor the pubs! Now, Trump and his Trumpers are insisting that schools re-open.....another massive disaster on its way! 

Trump failed America, Americans are dying!",unclear,unclear,pro-mitigation,anti-mitigation
And we are opening schools?,unclear,unclear,unclear,unclear
They should all be togo only for the rest of the year,unclear,unclear,unclear,pro-mitigation
Wait until the company health insurance provider refuses to cover Covid infection because the company did not provide adequate protection.   Or they rule it to be a preexisting condition,unclear,unclear,pro-mitigation,unclear
"""Bars and Restaurants"" is unwise lumping of two very different environments and behavioral sets associated with each.",unclear,unclear,unclear,unclear
"It seems like we don't have many outspoken advocates for COVID vaccination except the government officials. How about changing the profile picture to ""I got my COVID vaccine""? How about Facebook and Twitter issue a ""vaccinated"" verification mark?",unclear,pro-mitigation,anti-mitigation,pro-mitigation
"No shoes, no shirt, no vax, no service.",unclear,pro-mitigation,pro-mitigation,anti-mitigation
Insist on vaccinations or make them stay home. Everyone must be vaccinated for everyone to be safe.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"I live in Florida where less than 50% of residents have been fully vaccinated.  I continue to wear a mask when I'm around a lot of people, enter a restaurant or other business.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
