text,annotation_7,annotation_8,annotation_9,annotation_78,annotation_62
What do you mean that the pandemic has stretched on longer than anyone expected?,unclear,,unclear,unclear,unclear
I’m not sure if it qualifies as Big Brother when and if other people’s health is affected.,pro-mitigation,,anti-mitigation,unclear,pro-mitigation
"What if smallpox and polio came roaring back one day? Would we sit back and lamely let people choose to infect others? No, we would require vaccinations. We should do so for Covid as well.",pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
"I'm continuing to wear a mask.  Even in bed, sleeping, I keep it on.  After all, a burglar might beak in, and who knows if he's been fully vaccinated?",pro-mitigation,,pro-mitigation,pro-mitigation,unclear
"Although my husband and I really, really miss walking to town on a Friday night to have dinner and ice cream this summer, we agreed it’s not worth the risk. Instead, I make quesadillas, pizza, pad Thai, or Chinese at home and we crank up the music. Candlelight. Cocktails.",pro-mitigation,,pro-mitigation,pro-mitigation,unclear
Any indoor work should absolutely require employees to be vaccinated. It's not about freedom for people who don't trust the vaccine. It for the freedom of those who do.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Unwillingness to stay the course, encouraged by Trump & leading Republicans, has played a major role in America performing so badly against the #Coronavirus.",unclear,,anti-mitigation,unclear,unclear
"I believe we're in the eye of the hurricane when it comes to Covid-19 and, especially, the variants. The eye wall we're going to hit is all the unvaccinated in the red/white states. The ""storm"" will be even more vicious. But, this time the percentage of whites that die will be greater than the percentage of non-whites.",pro-mitigation,,anti-mitigation,unclear,pro-mitigation
"Whether China caused this deliberately or negligently, China should be sued in court for damages. Either way, China is liable.",unclear,,unclear,unclear,unclear
We won’t gamble our health at a restaurant anytime soon. My hunch is that it’s those family and friends get-togethers at numerous homes where most of the spread is really happening. Responsibility is really personal. If having that little party is more important to you than the lives of all the people you don’t know who may be infected by you or someone who visits you then this epidemic will end up being every bit as deadly as the worst predictions.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
I don’t want to be required to work in close proximity to people who are lethal disease vectors.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Point of order:  this reader already knows where Saskatchewan is, and does not have to be told in which country the province is located.",unclear,,unclear,unclear,unclear
"This is my employer folks NOT my god. While I've had my shots, My medical affairs our MY business NOT my employers. Unless it effects my ability to do my job, Which it does NOT. My medical affairs are no one's affair but mine. Or does the right privacy only apply occasionally? When it suits the ""Right People"" ?",anti-mitigation,,anti-mitigation,anti-mitigation,anti-mitigation
"Once the FDA removes the 'emergency use' declaration from the vaccine and fully approves it, there is NO excuse (other than the rare medical one) that will prevent businesses from requiring vaccination as a condition of employment.

To not require vaccination puts their other workers and clients at risk of getting infected and is not morally or socially responsible.  Employees who refuse are welcome to find another job.

It cannot be any simpler.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Biden needs to step up and be a leader, passing a bill that all who are able must get the vaccine, period.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
give them liberty and give them death,unclear,,unclear,pro-mitigation,pro-mitigation
Dr. Jonas Salk is rolling over in his grave.,unclear,,unclear,unclear,unclear
The restaurant industry is in shambles.. No one came out well in this Pandemic..,unclear,,unclear,unclear,unclear
No thanks.  The COVID industrial complex has run its course.  Time to live life.,anti-mitigation,,anti-mitigation,unclear,anti-mitigation
"35 percent of NYPD is fully vaccinated. 
Union will not agree to make it mandatory.",unclear,,anti-mitigation,unclear,unclear
"A simple, common sense solution: get vaccinated or wear a mask.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
Companies absolutely require Vaccination.  This not only protects the good employees it protects the public in general.  Follow Israel's lead....issue a Passport and no Passport no entry anywhere.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I don't understand the reasoning behind those who don't want to get the vaccine.  What is the problem?  It is a health issue and will protect those who get the shots and the people they come in contact with.  Are they being selfish or just being stubborn because they don't like being told what to do even if it's for their own good.
Please anti-vaxers, explain your position.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
The nation wanted to live freely. That's what it's about.,pro-mitigation,,anti-mitigation,anti-mitigation,unclear
"Remember the basic evolutionary principle of survival of the fittest.  This ain’t over folks, especially in the atmosphere of the ascientific non-vaxxers, resumption of global travel, and a world barely vaccinated.  Nature indeed bats last.",pro-mitigation,,anti-mitigation,unclear,unclear
"I have a close friend who is refusing to be vaccinated. She’s a dialysis nurse working in multiple hospitals with COVID patients and the (obviously) very weak and vulnerable. Unvaccinated people at my office job are going in maskless, and wondering aloud, in front of superiors, why the rest of us don’t want to come in. Nothing is being done about it. Employers need to mandate the vaccine. We have been consistently 2 steps behind this disease the entire pandemic by being overly considerate of people’s “liberties”. Fear and politics should not trump public health.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Those who are still willfully unvaccinated have chosen to take the risk of illness and possible death.  They should have to pay higher medical insurance premiums, just like smokers.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
I am all for it being mandated for the benefit of society.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Same goes for second-hand smoke, including from cannabis.",pro-mitigation,,unclear,unclear,unclear
"So employers can dictate what I say, what I wear, and require I have a certain appearance. Don’t see why they can’t require an immunization.",pro-mitigation,,unclear,pro-mitigation,unclear
"The question is:
How much suffering must be endured by how many people to save how many lives. It's an equation where no data will result in a zero answer.",pro-mitigation,,unclear,unclear,unclear
"In early June, before COVID spread in Houston was national news, my partner and I observed firsthand that COVID in our area were rising as Texas was “opening up” restaurants. Every day the list of restaurants that we could not order takeout from because they were temporarily closed due to an infected employee grew longer.",unclear,,anti-mitigation,unclear,pro-mitigation
Why shouldn't companies require employees to be vaccinated? Many require drug tests. This is more essential to a safe workplace.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I must disagree with the many comments calling today’s Americans weak and spoiled and comparing us unfavorably to Americans during WWII. We were fortunate to have FDR and his administration leading the nation through the Depression and WWII. Without that anti-fascist leadership we could have gone the way of Germany or Italy. America under Trump has been all splash and confusing messaging, no coherent leadership, and everyone trying to determine what is safe for themselves. Americans have not become spoiled; we have instead become leaderless.",unclear,,unclear,unclear,unclear
Report the facts -- all the facts. Not just the ones that support your narrative. This fear mongering is getting out of hand. 321 new cases were confirmed in L.A. County yesterday. One in five (the statistic cited for the Delta variant) means approximately 64 cases  were Delta Variant. The population of L.A. County is 10 million+. Enough said.,unclear,,unclear,unclear,unclear
If insurance companies refuse to cover someone because they haven’t gotten the Covid vaccine that will probably change everything. It would seem like it would be within their legal rights to do so. It would also seem that this is one of the few times that the general public the majority of Americans would support such a move by an insurance company.￼￼,pro-mitigation,,pro-mitigation,unclear,unclear
This is absolutely stupid.  Stop the fear mongering.,anti-mitigation,,unclear,anti-mitigation,anti-mitigation
"""Throughout the pandemic, masks have ranked among the most contentious public health measures in the United States, symbolizing a bitter partisan divide over the role of government and individual liberties."" Only in America where wearing a mask is tyranny.",pro-mitigation,,pro-mitigation,unclear,pro-mitigation
It’s frustrating that America has to continually slow down for these people.,unclear,,unclear,unclear,pro-mitigation
Another mad scientist’s biology experiment gone awry!,unclear,,unclear,unclear,unclear
People want tacos and a good beer when they want it.  To heck with everyone else.  That says it all.,pro-mitigation,,unclear,pro-mitigation,anti-mitigation
"The CDC knew in May the Delta variant was coming for us. 

They’ll never walk this back.",unclear,,anti-mitigation,unclear,anti-mitigation
I look at it another way. Anyone who wants a vaccine can get one for free. Why I am I required to wear a mask to protect people who have chosen not to get a vaccine? If someone cannot help themselves then I have no interest in helping them.,anti-mitigation,,anti-mitigation,unclear,pro-mitigation
"I'm curious whether any of the restaurants, or anywhere else, have found a meaningful number of patrons or employees with a temperature high enough to bar entry.

And if so, was there any reluctance on the part of the patron to leave.",unclear,,unclear,unclear,unclear
"Still waiting for ""a safe way"" to  control airflow around maskless eating and drinking patrons.

Till then: "" Hon' where s that recipe you pulled out for tonight?""",pro-mitigation,,anti-mitigation,unclear,pro-mitigation
"The fact that the majority of these comments are from people who are worried about being exposed to non-vaccinated people and therefore risking their health, speaks to the compromised efficacy of these vaccines. If you're vaccinated and still scared, life may continue to be difficult for you.",anti-mitigation,,anti-mitigation,unclear,anti-mitigation
"There is no delicate balance. Private firms or any job that is requires public interactions should require vaccinations. Does the economy benefit from entertaining the idea of ""freedom""? The answer is no. We have seen this already. The proponents of this anti science thinking have already done enough damage. If you don't want to protect your fellow workers, stay home. There are other folks who will benefit from taking your job while you entertain your perceived ""freedom"" to follow the lies and misinformation propagated by a fraud and a profiteer. No jab, no job.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"The human need to socialize overcame the scent of danger.  

It wouldn't be the first time, nor will it be the last.",unclear,,pro-mitigation,unclear,anti-mitigation
"I didn't get vaccinated just so I could stop wearing a mask, though that would ultimately be nice. I got vaccinated to protect the health of my loved ones, myself, and other people who would be at great risk from this virus. I got vaccinated so we could do the things we love again--hug and socialize and linger in book stores. I got vaccinated to help end this pandemic that has killed so many and damaged economies around the world. If I need to wear a mask indoors awhile longer because of a more infectious variant, it's just not a big deal, nor is it a deal-breaker for feeling like we're getting back to ""normal"" again.",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"No Vaccine...no job No Vaccine...no service. Smoking is not allowed but spewing a virus that can kill you, that's just fine. #toodumbtobeaherd",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
We are experiencing a pandemic.  Give me Big Brother for this one piece of health information until the crisis is over.  I work closely with a small number of other employees in food service.  I would like to be able to minimize my risks.,pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"The data is probably not definitive yet, but if vaccinated persons cannot be sickened more than is usual for the seasonal flu, then what is the need to social distance and wear the mask?  There may be medical reasons to not vaccinated, but otherwise good luck if one chooses not to take the covid-19 vaccine.  It can be said only so many times...the risk of covid-19 death is greater than the ill-effects of the jab.",anti-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"Last night I learned of 4 individuals who contracted the Delta variant.

Three had received the Pfizer vaccination quite a while back.

All had had Covid earlier on in the pandemic.

Three of the four work together.

The fourth is a baby (she’s doing just fine, the others are feeling “better”.)

11 days after the first positive Delta result, at least one is still testing positive.

All were much sicker than the last bout with Covid.

After inquiring about everyone’s health, I asked why there’s almost no discussion in the news about reinfection (there’s a bit today).

If reinfection is so “rare”, why am I aware of three?

There are a lot of people visiting this city and traveling back to a home near you - every single day.

So, now what do we do?  There are a lot of letters between Delta and Omega…",unclear,,unclear,unclear,anti-mitigation
"How is vaccine requirement (or medical waiver) any more invasive of privacy than drug screening, which is now widely required?",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"When someone dies from a vaccine that an employer required, what happens then?  Is the employer responsible?  If an employer requires a vaccine, there is no longer any sort of informed consent on the part of the worker/patient.  Would that push vaccine reactions and deaths into the worker's comp system, or will companies simply be held liable in civil courts?  

That would be really interesting because it might finally give vaccine-injured people the opportunity to actually litigate their claims before a real court with a real judge, jury, rules of evidence, and all legal theories on the table.  That has not been possible since the 80s, thanks to Federal law.",anti-mitigation,,pro-mitigation,anti-mitigation,unclear
"As an 81 year old what right do I have to tell young people how to behave ?

The aged (includes most politicians) need to acknowledge that the young have social needs that differ from the old.",unclear,,unclear,anti-mitigation,anti-mitigation
Right. Restaurant workers are “disposable.” So are seniors. Bottom line is: I want my burger!,anti-mitigation,,unclear,anti-mitigation,anti-mitigation
"So the rights of the vaxers matter. But what about the rights of the rest of us who are vaccinated? Don’t we have a right to not die at the hands of the vaxers? 
Do I have to die so the vaxers can have their right?! 
What about my rights, too?! Am I not human? So I have no rights?!
Do those of us who have accepted the medical advice and been vaccinated have no rights?! Are we disposable so that vaxers can make their point?! 
Why can’t we have separate activities, if necessary, if we as a country choose to satisfy the vaxers?! Must the rest of us die at the hands of vaxers?!",anti-mitigation,,unclear,pro-mitigation,pro-mitigation
