text,label
What do you mean that the pandemic has stretched on longer than anyone expected?,unclear
I’m not sure if it qualifies as Big Brother when and if other people’s health is affected.,unclear
"What if smallpox and polio came roaring back one day? Would we sit back and lamely let people choose to infect others? No, we would require vaccinations. We should do so for Covid as well.",pro-mitigation
"I'm continuing to wear a mask.  Even in bed, sleeping, I keep it on.  After all, a burglar might beak in, and who knows if he's been fully vaccinated?",pro-mitigation
"Although my husband and I really, really miss walking to town on a Friday night to have dinner and ice cream this summer, we agreed it’s not worth the risk. Instead, I make quesadillas, pizza, pad Thai, or Chinese at home and we crank up the music. Candlelight. Cocktails.",pro-mitigation
Any indoor work should absolutely require employees to be vaccinated. It's not about freedom for people who don't trust the vaccine. It for the freedom of those who do.,pro-mitigation
"Unwillingness to stay the course, encouraged by Trump & leading Republicans, has played a major role in America performing so badly against the #Coronavirus.",unclear
"I believe we're in the eye of the hurricane when it comes to Covid-19 and, especially, the variants. The eye wall we're going to hit is all the unvaccinated in the red/white states. The ""storm"" will be even more vicious. But, this time the percentage of whites that die will be greater than the percentage of non-whites.",unclear
"Whether China caused this deliberately or negligently, China should be sued in court for damages. Either way, China is liable.",unclear
We won’t gamble our health at a restaurant anytime soon. My hunch is that it’s those family and friends get-togethers at numerous homes where most of the spread is really happening. Responsibility is really personal. If having that little party is more important to you than the lives of all the people you don’t know who may be infected by you or someone who visits you then this epidemic will end up being every bit as deadly as the worst predictions.,pro-mitigation
I don’t want to be required to work in close proximity to people who are lethal disease vectors.,pro-mitigation
"Point of order:  this reader already knows where Saskatchewan is, and does not have to be told in which country the province is located.",unclear
"This is my employer folks NOT my god. While I've had my shots, My medical affairs our MY business NOT my employers. Unless it effects my ability to do my job, Which it does NOT. My medical affairs are no one's affair but mine. Or does the right privacy only apply occasionally? When it suits the ""Right People"" ?",anti-mitigation
"Once the FDA removes the 'emergency use' declaration from the vaccine and fully approves it, there is NO excuse (other than the rare medical one) that will prevent businesses from requiring vaccination as a condition of employment.

To not require vaccination puts their other workers and clients at risk of getting infected and is not morally or socially responsible.  Employees who refuse are welcome to find another job.

It cannot be any simpler.",pro-mitigation
"Biden needs to step up and be a leader, passing a bill that all who are able must get the vaccine, period.",pro-mitigation
give them liberty and give them death,unclear
Dr. Jonas Salk is rolling over in his grave.,unclear
The restaurant industry is in shambles.. No one came out well in this Pandemic..,unclear
No thanks.  The COVID industrial complex has run its course.  Time to live life.,anti-mitigation
"35 percent of NYPD is fully vaccinated. 
Union will not agree to make it mandatory.",unclear
"A simple, common sense solution: get vaccinated or wear a mask.",pro-mitigation
Companies absolutely require Vaccination.  This not only protects the good employees it protects the public in general.  Follow Israel's lead....issue a Passport and no Passport no entry anywhere.,pro-mitigation
"I don't understand the reasoning behind those who don't want to get the vaccine.  What is the problem?  It is a health issue and will protect those who get the shots and the people they come in contact with.  Are they being selfish or just being stubborn because they don't like being told what to do even if it's for their own good.
Please anti-vaxers, explain your position.",pro-mitigation
The nation wanted to live freely. That's what it's about.,anti-mitigation
"Remember the basic evolutionary principle of survival of the fittest.  This ain’t over folks, especially in the atmosphere of the ascientific non-vaxxers, resumption of global travel, and a world barely vaccinated.  Nature indeed bats last.",unclear
"I have a close friend who is refusing to be vaccinated. She’s a dialysis nurse working in multiple hospitals with COVID patients and the (obviously) very weak and vulnerable. Unvaccinated people at my office job are going in maskless, and wondering aloud, in front of superiors, why the rest of us don’t want to come in. Nothing is being done about it. Employers need to mandate the vaccine. We have been consistently 2 steps behind this disease the entire pandemic by being overly considerate of people’s “liberties”. Fear and politics should not trump public health.",pro-mitigation
"Those who are still willfully unvaccinated have chosen to take the risk of illness and possible death.  They should have to pay higher medical insurance premiums, just like smokers.",pro-mitigation
I am all for it being mandated for the benefit of society.,pro-mitigation
"Same goes for second-hand smoke, including from cannabis.",unclear
"So employers can dictate what I say, what I wear, and require I have a certain appearance. Don’t see why they can’t require an immunization.",pro-mitigation
"The question is:
How much suffering must be endured by how many people to save how many lives. It's an equation where no data will result in a zero answer.",unclear
"In early June, before COVID spread in Houston was national news, my partner and I observed firsthand that COVID in our area were rising as Texas was “opening up” restaurants. Every day the list of restaurants that we could not order takeout from because they were temporarily closed due to an infected employee grew longer.",unclear
Why shouldn't companies require employees to be vaccinated? Many require drug tests. This is more essential to a safe workplace.,pro-mitigation
"I must disagree with the many comments calling today’s Americans weak and spoiled and comparing us unfavorably to Americans during WWII. We were fortunate to have FDR and his administration leading the nation through the Depression and WWII. Without that anti-fascist leadership we could have gone the way of Germany or Italy. America under Trump has been all splash and confusing messaging, no coherent leadership, and everyone trying to determine what is safe for themselves. Americans have not become spoiled; we have instead become leaderless.",unclear
